ID, Spanish, English
A1, "Proyectos", "Projects"
A2, "Formación:", "Training:"
A3, "Desarrollador Web Fullstack UTN.<br> Desarrollador Web con WordPress UTN.<br> Unity developer Quark Academy.<br> Unity Developer 3 años de experiencia.", "Fullstack Web Developer at UTN.<br> Web Developer with WordPress at UTN.<br> Unity developer at Quark Academy.<br> 3 years of experience as a Unity Developer."
A4, "Desarrollo de videojuegos independiente:", "Independent Game Development:"
A5, "Cerrar", "Close"
A6, "Tarjeta 1", "Card 1"
A7, "Tarjeta 2", "Card 2"
A8, "Copiar", "Copy"
A9, "Copiar todo", "Copy All"
A10, "Borrar", "Delete"
A11, "Link del juego", "Game Link"
A12,"Salir","Exit"
A13,"Curriculum","Curriculum"
A14,"Crisis Survivor es un frenético shooter en primera persona con mecánicas Roguelite, sobrevive a oleadas de enemigos y derrota al jefe final.","Crisis Survivor is a frenetic first-person shooter with Roguelite mechanics, survive waves of enemies and defeat the final boss."
A15,"Sumérgete en un mundo felino lleno de estrategia y diversión con este emocionante juego de cartas. Inspirado en el clásico Triple Triad de Final Fantasy VIII, esta experiencia combina la emoción de la batalla con la colección de más de 100 cartas coleccionables.","Immerse yourself in a feline world full of strategy and fun with this exciting card game. Inspired by the classic Triple Triad from Final Fantasy VIII, this experience combines the thrill of battle with the collection of over 100 collectible cards."
A16,"Pon a prueba tus habilidades en este divertido juego de trivias, con más de 150 preguntas, que abarcan desde deportes, ciencia, arte, geografía, cine y más.Este proyecto fue porteado a PC para muestra de Curriculum","Test your skills in this fun trivia game, with more than 150 questions, ranging from sports, science, art, geography, cinema and more. This project was ported to PC for Curriculum sample"
A17,"Un videojuego de baloncesto frenético y divertido, para poner a prueba tus habilidades de tiro e intentar alcanzar la puntuación mínima para completar el nivel, también podrás batir tus propios récords y conseguir una puntuación mayor. Puedes comprar habilidades que te ayudarán con tu rendimiento y apostar lo mejor que puedas en una ruleta. Este proyecto fue porteado a PC para muestra de Curriculum","A frenetic and fun basketball video game, to test your shooting skills and try to reach the minimum score to complete the level, you can also beat your own records and get a higher score. You can buy skills that will help you with your performance and bet the best you can on a roulette wheel. This project was ported to PC for Curriculum sample"
A18,"Acompaña a nuestro protagonista en esta divertida aventura llena de adrenalina y velocidad, i ntenta llegar al final del tunel sin que la soga se corte.Deberás defender los enemigos y los diferentes obstáculos que se encuentran en el camino para poder llegar al final en una sola pieza. Las mecánicas de este juego son tan simples como adictivas: podremos movernos hacia los costados usando la rueda del mouse, nos defenderemos con el click izquierdo y esquivaremos con el click derecho. Este juego fue desarrollado para la Game JAM: Tu juego a jucio JAM, desarrollada por el youtuber Alva Mayo. Presionando el botón "X" durante la partida podés ver el final del juego sin tener que llegar al final del tunel.","Accompany our protagonist in this fun adventure full of adrenaline and speed, and try to reach the end of the tunnel without the rope breaking. You must defend the enemies and the different obstacles that are along the way to reach the end in one piece. The mechanics of this game are as simple as they are addictive: we can move to the sides using the mouse wheel, we will defend ourselves with the left click and we will dodge with the right click. This game was developed for Game JAM: Your game in court JAM, developed by youtuber Alva Mayo.
By pressing the "X" button during the game you can see the end of the game without having to reach the end of the tunnel."
A19,"¿Deseas cerrar la aplicación?","Do you want to close the application?"
A20,"Si","Yes"
A21,"No","No"
